immense	nesmierne
immerse	ponoriť
immerse	zapustiť
immerse	uložiť
immerse	pokrstiť
immerse	ponárať
immerse	potápať
immersion	ponorovanie
immersion	potopenie
immersion	ponorenie
immersion	imerzia
immersion	ponor
immersion	ponorný
immersion	imerzný
immersion	ponorovací
immigrant	prisťahovalec
immigration	imigrácia
immigration	prisťahovalectvo
imminent	hroziaci
immiscible	nezmiešateľný
immiscible	nemiešateľný
immobility	nehybnosť
immodest	neslušný
immodest	nemravný
immodest	neskromný
immodest	bezočivý
immodesty	neslušnosť
immodesty	nemravnosť
immodesty	neskromnosť
immoral	nemorálny
immoral	nemravný
immoral	hriešny
immoral	bezzásadový
immorality	amorálnosť
immortal	nesmrteľný
immortality	nesmrteľnosť
immortalize	zvečniť
immovability	nepohyblivosť
immovable	pevný
immovable	nemenný
immovable	nehybná
immovable	nehybné
immovable	pevná
immovable	pevné
immovable	nemenná
immovable	nemenné
immovable	nepohyblivý
immovable	neposuvný
immovable	nehybný
immune	bezpečný
immune	bezpečná
immune	bezpečné
immune	odolná
immune	odolné
immune	imúnna
immune	imúnne
immune	imúnny
immune	odolný
immunity	imunita
immunity	zbavenie
immunity	oslobodenie
immunization	imunizácia
immunized	imúnny
immunized	imúnna
immunized	imúnne
immunized	imunizovaný
immunized	imunizovaná
immunized	imunizované
immunized	imunitný
immunized	imunitná
immunized	imunitné
immunochemistry	imunochémia
immure	uzavrieť
immure	zavrieť
immure	izolovať
immurement	izolácia
immurement	izolovanie
immurement	uzatvorenie
immutability	nemennosť
immutability	nezmeniteľnosť
immutable	nezameniteľný
immutable	nezameniteľná
immutable	nezameniteľné
immutable	nemenná
immutable	nemenné
imp	škriatok
impact	dosah
impact	dopad
impact	kolízia
impact	výsledok
impact	vplyv
impact	náraz
impact	ráz
impact	úder
impact	zrážka
impact	zapôsobenie
impact	naraziť
impact	narážať
impact	ovplyvňovať
impact	pôsobiť
impact	stlačiť
impact	nárazový
impact	impulzný
impact	rázový
impact	okružovací
impact	vrubový
impact	vibračný
impact	zhutňovací
impact	pôsobenie
impact	účinok
impaction	stlačenie
impaction	zrazenie
impair	oslabiť
impair	stenčiť
impair	znehodnocovať
impair	poškodzovať
impair	znehodnotiť
impair	nepárna
impair	nepárne
impair	nepárny
impair	stenčovať
impair	zmenšovať
impair	poškodiť
impair	zoslabiť
impair	zhoršiť
impair	zmenšiť
impaired	opitý
impairment	zmenšenie
impairment	zhoršenie
impairment	zníženie
impairment	znehodnotenie
impale	napichnúť
impale	prepichnúť
impale	preraziť
impale	zhodiť
impart	prepožičať
impart	oznámiť
impart	dodávať
impart	predávať
impart	prenášať
impart	vštepovať
impart	odovzdať
impart	udeliť
impartial	objektívny
impartial	nestranný
impartial	nezaujatý
impartial	nezávislý
impartiality	nestrannosť
impartiality	nezaujatosť
impartiality	nezávislosť
impassable	nepriechodná
impassable	nepriechodné
impassable	neschodná
impassable	neschodné
impassable	neprekonateľný
impassable	neprekonateľná
impassable	neprekonateľné
impassable	nepriechodný
impassable	neschodný
impassable	nezjazdný
impasse	neschodný
impasse	neschodná
impasse	neschodné
impasse	slepý
impasse	slepá
impasse	slepé
impassioned	vášnivý
impassioned	plamenný
impassive	nedotklivý
impassive	pokojný
impassive	apatický
impassive	ľahostajný
impassive	flegmatický
impasto	impasto
impatience	netrpezlivosť
impatient	netrpezlivý
impatient	netrpezlivá
impatient	netrpezlivé
impatient	nedočkavý
impeach	obviniť
impeach	obžalovať
impeach	znevažovať
impeachment	spochybnenie
impeachment	pochybnosť
impeachment	odmietnutie
impeccable	bezchybný
impeccable	bezchybná
impeccable	bezchybné
impeccable	dokonalý
impedance	impedancia
impedance	impedančný
impede	brániť
impede	brzdiť
impede	zdržiavať
impediment	prekážka
impediment	závada
impediment	chyba
impel	popoháňať
impel	hnať
impel	dohnať
