inaccurate	chybný
inactivate	zneaktívniť
inactivate	inaktivovať
inactivate	pasivovať
inactivation	inaktivácia
inactive	pasívny
inactive	neaktívny
inactive	neaktívna
inactive	neaktívne
inactive	pasívna
inactive	pasívne
inactive	nepoužívaný
inactive	nepoužívaná
inactive	nepoužívané
inactive	lenivý
inactive	lenivá
inactive	lenivé
inactive	neaktivovaný
inactive	neaktivovaná
inactive	neaktivované
inactive	nevzdorujúci
inactive	inaktívny
inactivity	nečinnosť
inactivity	nepôsobivosť
inadequacy	neprimeranosť
inadequacy	neadekvátnosť
inadequate	nedostatočný
inadequate	neprimeraný
inadequate	nevhodný
inadequate	neschopný
inadequate	nepostačujúci
inadequate	nepomerný
inadmissibility	neprípustnosť
inadmissible	nedovolený
inadmissible	neprípustný
inadmissible	neprípustná
inadmissible	neprípustné
inadmissible	neprijateľný
inadvertence	nedbalosť
inadvertence	nepozornosť
inadvertence	ľahostajnosť
inadvertent	nevedomky
inadvertent	neúmyselný
inadvertent	nechtiac
inadvertent	mimovoľný
inadvertently	neuvedomene
inadvertently	nevedomky
inalienable	neodcudziteľný
inane	hlúpy
inane	nezmyselný
inanimate	bezduchý
inanimate	neživý
inapplicability	nepoužiteľnosť
inapplicability	neaplikovateľnosť
inapplicable	nepoužiteľný
inappropriateness	nenáležitosť
inappropriateness	nevhodnosť
inappropriateness	nepríslušnosť
inapt	neschopný
inapt	neschopná
inapt	neschopné
inapt	nekvalifikovaný
inapt	nekvalifikovaná
inapt	nekvalifikované
inapt	nevhodný
inapt	nevhodná
inapt	nevhodné
inarticulate	neartikulovaný
inarticulate	málovravný
inarticulate	negramotný
inarticulate	nemý
inarticulate	nevýslovný
inarticulate	nevyslovený
inarticulate	nečlánkovaný
inattention	nepozornosť
inattentive	nepozorný
inaudible	nečujný
inaudible	tichý
inaugurate	zasvätiť
inauguration	zasvätenie
inauguration	uvedenie
inauguration	inaugurácia
inborn	vrodený
inbuilt	zabudovaný
inbuilt	zabudovaná
inbuilt	zabudované
inbuilt	vstavaný
inbuilt	vstavaná
inbuilt	vstavané
incandescence	inkandescencia
incandescence	rozžeravenie
incandescence	žeraviaci
incandescent	žeraviaci
incandescent	rozžeravený
incandescent lamp	žiarovka
incapability	nespôsobilosť
incapability	neschopnosť
incapable	neschopný
incapable	nespôsobilý
incarcerate	uväzniť
incarceration	uväznenie
incarnate	inkarnát
incarnate	stelesniť
incarnate	konkretizovať
incarnate	stelesňovať
incarnate	zosobňovať
incarnate	zosobniť
incarnation	inkarnácia
incarnation	prevtelenie
incendiary	podpaľač
incendiary	zápalný
incendiary	podpaľačský
incense	kadidlo
incentive	podnecujúci
incentive	motivácia
incentive	motív
incentive	podnetný
incentive	podnet
incentive	pohnútka
incentive	stimul
inception	počiatok
inception	začiatok
incertitude	neistota
incessant	neustály
incessant	nepretržitý
incest	incest
incest	krvismilstvo
inch	maličkosť
inch	kúsok
inch	kúsoček
inch	palcový
inchoate	počiatočný
inchoate	počiatočná
inchoate	počiatočné
inchoate	neúplný
inchoate	neúplná
inchoate	neúplné
inchoate	nedokonalý
inchoate	čiastočný
inchoate	nedokončený
inchoative	počiatočný
inchoative	formatívny
incidence	dosah
incidence	incidencia
incidence	útok
incidence	nastavenie
incidence	úraz
incidence	incidenčný
incidence	výskyt
incidence	dopad
incidence	zaťaženie
incident	príhoda
incident	prípad
incident	vlastný
incident	náhodný
incident	dopadajúci
incident	epizóda
incident	povinnosti
incident	charakterizujúci
incident	typický
incident	charakteristický
incident	spojený
incident	vonkajší
incident	vedľajší
incident	súvisiaci
incident	incidenčný
incident	bombardovací
incident	závislý
incident	udalosť
incident	incident
incident	dôsledok
incidental	náhodný
incidental	neproduktívny
incidental	náhodná
incidental	náhodné
incidental	neplánovaný
incidental	neplánovaná
incidental	neplánované
incidental	vedľajší
incidental	vedľajšia
incidental	vedľajšie
incidental	identický
incidental	identická
incidental	identické
incidental	príležitostný
incidental	príležitostná
incidental	príležitostné
incidental	sprevádzajúci
incidental	vtrúsený
incidental	sprievodný
incidental	spojený
incidental	súvisiaci
incidental music	medzihra
incidentally	mimochodom
incidentally	náhodou
incinerate	spopolňovať
incineration	spopolnenie
incineration	spaľovanie
incipient	neodvratný
incipient	vznikajúci
