self-sufficiency	autarkia
self-sufficient	sebavedomý
self-sufficient	nadutý
self-sufficient	sebestačný
self-supporting	svojpomocný
self-supporting	sebestačný
self-sustaining	sebestačný
self-sustaining	nezávislý
self-sustaining	samostatný
self-will	tvrdohlavosť
self-will	zanovitosť
selfish	sebecký
selfish	egoistický
selfish	egocentrický
selfishness	sebectvo
selfishness	egoizmus
selfishness	egocentrizmus
selfless	nesebecký
sell	sklamanie
sell	prostituovať
sell	zradiť
sell	zapredať
sell	podviesť
sell	napáliť
sell	dobehnúť
sell	získať
sell	obchodovať
sell	predávať
sell	predať
sell off	odpredať
sell out	vypredať
sell up	vydražiť
seller	predavač
seller	predavačka
seller	predajca
seller	predávajúci
seller	obchodník
selling	obchodné
selling	predaj
selling	predávanie
selsyn	selsyn
selvage	okraj
selvage	kraj
selvage	odrezok
selvage	roh
selvage	lemovať
selvage	obrúbiť
selvedge	okrajový
semantic	významový
semantic	sémantický
semantics	sémantika
semaphore	návestidlo
semblance	zdanie
semblance	výzor
semblance	podoba
semen	semeno
semen	sperma
semen	spermia
semi-dry	polovysychavý
semi-dry	polovysychavá
semi-dry	polovysychavé
semiautomatic	poloautomaticky
semicircle	polkruh
semicircle	polokruh
semicircle	polkružnica
semicircle	uhlomer
semicircular	polkruhový
semicircular	polkruhová
semicircular	polkruhové
semicolon	bodkočiarka
semiconducting	polovodičový
semiconducting	polovodivý
semiconductive	polovodivý
semiconductive	polovodičový
semiconductor	polovodič
semiconductor	polovodičový
semidetached house	dvojdomček
semiliquid	polotekutý
seminal	semenný
seminal	rozmnožovací
seminal	nevyvinutý
seminal	zárodočný
seminal fluid	sperma
seminar	seminár
seminar	porada
seminarist	seminarista
seminary	seminár
seminary	akadémia
seminary	lýceum
seminary	semenisko
seminary	stredisko
seminary	ohnisko
seminary	plemenište
semiopaque	polopriezračný
semiotics	semiotika
semivowel	polosamohláska
senate	legislatíva
senate	zákonodarci
senate	senát
senator	senátor
senatorial	senátorský
senatorial	senátny
send	vysielať
send	zaslať
send	hodiť
send	vrhnúť
send	vystreliť
send	streliť
send	odpáliť
send	hnať
send	zoslať
send	zosielať
send	dať
send	dopustiť
send	uviesť
send	priviesť
send	doviesť
send	odosielať
send	posielať
send	odoslať
send	poslať
send	vyslať
send away	prepustiť
send away	prepúšťať
send away	odoslať
send back	vrátiť
send down	vylúčiť
send in	poslať
send in	zaslať
send in	oznámiť
send in	odovzdať
send off	odoslať
send off	odprevadiť
send off	poslať
send off	rozoslať
send out	vysielať
send out	vydávať
send out	rozosielať
send-off	rozlúčka
send-off	odštartovanie
send-off	štart
send-off	popud
send-off	impulz
send-off	vyprevadenie
send-off	blahoželanie
sender	vysielač
sender	zasielateľ
sender	vysielačka
sender	číslovník
sender	register
sender	odosielateľ
sending	poslanie
sending	odoslanie
sending	zaslanie
sending	odosielanie
sending	vysielací
senescence	starnutie
senescence	staroba
senescent	starnúci
senescent	starecký
senescent	zastaralý
senile	senilný
senile	starecký
senility	stareckosť
senility	starnutie
senility	senilita
senior	starší
senior	slávny
senior	samostatný
senior	nadriadený
senior	najstarší
senior	senior
senior	prednosta
senior	prednostný
senior	nadradený
sensation	rozruch
sensation	pocit
sensation	vnem
sensation	cit
sensation	dojem
sensation	zdanie
sensation	vzrušenie
sensation	senzácia
sensational	senzačný
sensational	vzrušujúci
sensational	napínavý
sensational	úžasný
sensational	vnemový
sensational	pocitový
sensational	zmyslový
sensational	senzualistický
sensationalism	senzualizmus
sensationalism	senzáciechtivosť
sensationalism	senzačnosť
sense	vnímať
sense	vycítiť
sense	nálada
sense	mienka
sense	pochopiť
sense	chápať
