emptor	kupujúci
empty	prázdny
empty	vyprázdniť
empty	ústiť
empty	vlievať
empty	pustý
empty	planý
empty	vysypať
empty	hladný
empty	neobývaný
empty	prázdna
empty	prázdne
empty	zbavený
empty	zbavená
empty	zbavené
empty	pustá
empty	pusté
empty	naprázdno
empty	voľný
empty	uvoľniť
empty	vyprázdňovať
empty	vyčerpať
empty	vyberať
emptying	vyprázdnenie
emptying	vyliatie
emptying	vypúšťanie
emptying	vypúšťací
emulate	súťažiť
emulate	napodobiť
emulate	súperiť
emulate	imitovať
emulate	napodobniť
emulate	emulovať
emulate	riadiť
emulate	napodobňovať
emulation	súťaženie
emulation	závodenie
emulation	súperenie
emulation	rivalita
emulation	emulácia
emulation	súťaž
emulator	emulátor
emulator	napodobňovateľ
emulous	závodiaci
emulous	dychtivý
emulous	ctižiadostivý
emulsion	emulzia
en bloc	vcelku
en bloc	hromadne
en bloc	naraz
en masse	hromadne
en route	cestou
enable	umožňovať
enable	zmocniť
enable	oprávniť
enable	uvoľniť
enable	uspôsobiť
enable	zapnúť
enable	odblokovať
enable	aktivovať
enable	uvoľnenie
enable	aktivizovať
enable	prístup
enable	sprístupniť
enable	umožniť
enable	splnomocniť
enact	uzákoniť
enact	ustanoviť
enact	rozhodnúť
enact	nariadiť
enactment	nariadenie
enactment	uzákonenie
enactment	ustanovenie
enamel	email
enamel	emailové
enamel	smalt
enamel	smaltovať
enamel	sklovina
enamel	glazúra
enamel	smaltovaný
enamel	smaltovaná
enamel	smaltované
enamel	smaltovací
enamel	emailový
enamel	smaltový
enamel	naglazúrový
enamel	lakový
enamel	natieraný
enamine	enamín
enamour	okúzliť
enantiomorphism	enantiomorfia
encamp	utáboriť
encampment	tábor
encampment	táborenie
encapsulate	uzavierať
encapsulate	zapudrovať
encapsulation	zapuzdrenie
encapsulation	uzatvorenie
encapsulation	zapúzdrenie
encapsulation	puzdrenie
encapsulation	zalievanie
encase	uzavrieť
encase	debniť
encase	odebniť
encase	obkladať
encase	zapúzdrovať
encasement	odebnenie
encasement	obalenie
encasement	puzdrenie
encasement	zapúzdrenie
encaustic	enkauistika
encaustic	enkauistická
encaustic	enkauistický
encaustic	enkauistické
enceinte	tehotná
enchain	spútať
enchant	okúzliť
enchanting	čarovný
enchantment	okúzlenie
enchantment	pôvab
enchantment	očarenie
enchantment	kúzlo
encipher	zašifrovať
encipher	zakódovať
encipher	kódovať
encircle	obklopiť
encircle	uzavrieť
encircle	obkľúčiť
encirclement	obkľúčenie
enclose	obklopovať
enclose	uzavierať
enclose	obklopiť
enclose	uzavrieť
enclose	zatvoriť
enclose	obkolesiť
enclose	zovrieť
enclose	uzatvárať
enclose	zahradiť
enclose	vkladať
enclose	zavrieť
enclose	obohnať
enclose	ohradiť
enclose	uzatvoriť
enclose	priložiť
enclose	pripojiť
enclosed	vložený
enclosed	uzatvorený
enclosed	zakrytý
enclosed	polochránený
enclosed	vrezaný
enclosed	zapuzdrený
enclosing	poslanie
enclosing	zaslanie
enclosure	plot
enclosure	ohrada
enclosure	puzdro
enclosure	obora
enclosure	kryt
enclosure	ohradenie
enclosure	príloha
encode	zakóduj
encode	kódovať
encode	zakódovať
encoding	zakódovanie
encoding	kódovanie
encoding	zakódovať
encompass	obklopiť
encompass	zahrňovať
encompass	obsahovať
encompass	urobiť
encompass	vykonať
encore	opakovanie
encounter	stretnutie
encounter	stretávanie
encounter	zrážka
encourage	doporučovať
encourage	vyzývať
encourage	povzbudiť
encourage	posmeľovať
encourage	podporovať
encourage	podnecovať
encourage	povzbudzovať
encourage	radiť
encouragement	povzbudenie
encouragement	podpora
encroach	zneužívať
encroachment	zásah
encrustation	inkrustácia
encrustation	penenie
encrypt	zakódovať
encrypt	zašifrovať
encryption	zakódovanie
encryption	zašifrovanie
encryption	šifrovanie
encumber	zaťažiť
encumber	prekážať
encumber	preťažiť
encumber	zadĺžiť
encumbrance	zaťaženie
encumbrance	prekážka
