initialization	inicializácia
initialize	štartovať
initialize	inicializovať
initialize	spúšťať
initially	pôvodne
initially	spočiatku
initiate	uviesť
initiate	spustiť
initiate	otvoriť
initiate	zasvätiť
initiate	uvedený
initiate	zasvätený
initiate	znalec
initiate	začať
initiate	naštartovať
initiate	inicializovať
initiate	spúšťať
initiate	začínať
initiate	vyvolať
initiate	zaviesť
initiation	uvedenie
initiation	spustenie
initiation	iniciácia
initiation	začatie
initiative	iniciatívny
initiative	podnet
initiative	iniciatíva
inject	vstrekovať
inject	priviesť
inject	zaviesť
inject	injektovať
injection	injekcia
injection	injektor
injection	vstrekovanie
injection	vstrekovací
injection	vstrekový
injector	injektor
injector	vstrekovací
injunction	zákaz
injunction	rozkaz
injure	poraniť
injure	uraziť
injure	potupiť
injure	ublížiť
injure	poškodiť
injure	zraniť
injured	poranený
injured	poškodený
injured	zranený
injured	urazený
injured	dotknutý
injured	ukrivdený
injurious	nactiutŕhačský
injurious	škodlivý
injurious	nebezpečný
injury	krivda
injury	poškodenie
injury	poranenie
injury	zrazenie
injury	úkor
injury	úrazový
injury	urážka
injury	škoda
injury	ujma
injury	zranenie
injury	úraz
injustice	nespravodlivosť
injustice	bezprávie
injustice	krivda
ink	atrament
ink	natrieť
ink	napísať
ink	podpísať
ink	farba
ink	tuš
ink	roztierač
ink	farebníkový
ink	farebnicový
ink	tlačový
inkpot	kalamár
inkstand	kalamár
inkwell	kalamár
inland	vnútrozemie
inland	vnútrozemský
inland	domáci
inland	tuzemsko
inland	pevninový
inland	poriečny
inland	kontinentálny
inland	bezodtovový
inland	vnútroštátny
inlay	vložka
inlay	intarzia
inlay	vykladať
inlay	vysadzovať
inlay	vkladať
inlet	vstup
inlet	prívod
inlet	vložka
inlet	zátoka
inlet	vchod
inlet	výustka
inlet	vývodka
inlet	vtokový
inlet	prívodný
inlet	napájací
inlet	nasávací
inlet	vpúšťací
inmate	spolubývajúci
inmate	nájomník
inmate	chovanec
inmate	väzeň
inn	hostinec
inn	krčma
innate	vrodený
innate	vlastný
innate	prirodzený
inner	vnútro
inner	skrytý
inner	skrytá
inner	skryté
inner	rubový
inner	vnútorný
inner	vnútorná
inner	vnútorné
inner	tajný
inner	najhlbší
innermost	najvnútornejší
innermost	najskrytejší
innervation	inervácia
inning	zmena
innkeeper	krčmár
innocence	nevinnosť
innocence	prostota
innocence	nevina
innocent	nevinný
innocent	neškodný
innocent	neskazený
innocent	naivný
innocent	neviniatko
innocent	hlupáčik
innocent	naivka
innocuous	neškodný
innocuous	nevinný
innocuous	krotký
innovate	zavádzať
innovate	zaviesť
innovate	zlepšovať
innovate	zdokonaľovať
innovation	inovácia
innovation	novota
innovation	obnova
innovation	inovácie
innovation	zmeny
innovation	obnovenie
innovation	zlepšenie
innovation	inovačný
innovation	novátorstvo
innovation	novinka
innovator	novotár
innovator	zlepšovateľ
innovator	novátor
innuendo	narážka
innuendo	ohováranie
innuendo	špička
innuendo	význam
innumerable	nespočetný
inoculate	očkovať
inoculation	štepenie
inoculation	naočkovanie
inoculation	očkovanie
inoffensive	neškodný
inoperable	neúčinný
inoperable	práceneschopný
inoperative	neúčinný
inoperative	nefungujúci
inoperative	slepý
inoperative	nevýkonný
inordinate	nadmerný
inordinate	prílišný
inorganic	anorganický
inorganic	minerálny
input	uložiť
input	vstup
input	vchod
input	príkon
input	prívod
input	zaviesť
input	vstupovať
input	vstup
input	vstupný
input	vstupná
input	vstupné
input	hnací
input	faktor
input	zavádzať
inquest	pátranie
inquest	vyšetrovanie
inquire	žiadať
inquire	skúmať
