unleash	odviazať
unlettered	negramotný
unlettered	nevzdelaný
unlicensed	nepovolený
unlicensed	nedovolený
unlike	nepodobný
unlike	inakší
unlike	nerovnaký
unlikely	nesľubujúci
unlikely	nepravdepodobný
unlikely	nepravdepodobne
unlikeness	nepodobnosť
unlikeness	nesúhlasnosť
unlimited	bezhraničný
unlimited	nekonečný
unlimited	bezmedzný
unlimited	bezvýhradný
unlimited	neobmedzený
unlimited	neohraničený
unload	vyberať
unload	uvoľňovať
unload	predávať
unload	odľahčovať
unload	odbremeniť
unload	odťažiť
unload	nevkladať
unload	nevsúvať
unload	vykladať
unload	skladať
unload	uvoľniť
unloaded	nezaťažený
unloaded	neplnený
unloading	skladanie
unloading	odľahčenie
unloading	odbremenenie
unloading	vyloženie
unloading	snímanie
unloading	vykladací
unloading	vysúvací
unloading	skládkový
unloading	vykládka
unlock	uvoľniť
unlock	odblokovať
unlock	odomknúť
unlock	otvoriť
unlock	otvárať
unlocked	neblokovaný
unlocked	nezablokovaný
unlucky	nešťastný
unlucky	osudný
unlucky	neblahý
unlucky	nepodarený
unlucky	nevhodný
unlucky	neúspešný
unmarked	neoznačený
unmarked	nepovšimnutý
unmarked	nepríznakový
unmarked	južný
unmarketable	neobchodovateľný
unmarketable	nepredajný
unmarried	slobodný
unmarried	nevydatá
unmarried	slobodná
unmarried	neženatý
unmask	odmaskovať
unmask	odhaliť
unmask	demaskovať
unmatched	jedinečný
unmentionable	nemenovateľný
unmentionable	nohavice
unmerchantable	nepredajný
unmistakable	zrejmý
unmistakable	zjavný
unmistakable	neklamný
unmistakable	jasný
unmitigated	absolútny
unmitigated	úplný
unmoderated	nemoderovaný
unmoderated	nebrzdený
unnamed	nemenovaný
unnatural	strojený
unnatural	predstieraný
unnatural	neľudský
unnatural	zvrátený
unnatural	neprirodzený
unnatural	neobvyklý
unnatural	zvláštny
unnecessary	nepotrebný
unnecessary	zbytočný
unnerve	enervovať
unnoticed	nezbadaný
unnoticed	nespozorovaný
unobstructed	nehatený
unobstructed	voľný
unobtrusive	nevtieravý
unoccupied	neobývaný
unoccupied	nezamestnaný
unoccupied	nezaujatý
unoccupied	nečinný
unoccupied	neobsadený
unoffending	neškodný
unoffending	neurážlivý
unofficial	neoficiálny
unofficial	neúradný
unpack	rozložiť
unpack	vybaliť
unpack	vybaľovať
unpack	rozbaliť
unpack	rozkladať
unpaid	neuhradený
unpaid	nevyclený
unpaid	neplatený
unpaid	nezaplatený
unpaid	nesplatený
unpaid	bezplatný
unpalatable	nechutný
unpalatable	nezáživný
unpalatable	nepríjemný
unparalleled	bezpríkladný
unparalleled	jedinečný
unpardonable	neodpustiteľný
unpleasant	nepríjemný
unpleasant	nemilý
unpleasant	ošklivý
unplug	odpojiť
unpopular	nepopulárny
unpopular	neobľúbený
unpopulated	nezaľudnený
unpopulated	neobývaný
unprecedented	neslýchaný
unprecedented	nezmerný
unprecedented	nedostiahnuteľný
unprecedented	bezprecedentný
unprecedented	nebývalý
unprecedented	neobvyklý
unprecedented	bezpríkladný
unpredictable	nepredvídateľný
unpredictable	neočakávaný
unprejudiced	objektívny
unprejudiced	nezaujatý
unprejudiced	vecný
unpremeditated	nepremyslený
unpremeditated	neúmyselný
unpremeditated	nezamýšľaný
unprepared	nepripravený
unpretending	skromný
unpretending	nenáročný
unprincipled	bezzásadný
unprincipled	bezohľadný
unprincipled	bezcharakterný
unproductive	neproduktívny
unproductive	nevýnosný
unproductive	neplodný
unproductive	netvorivý
unprofitable	nevýnosný
unprofitable	nevýhodný
unprofitable	neužitočný
unprofitable	zbytočný
unprogressive	nepokrokový
unprogressive	konzervatívny
unprotected	nechránený
unprotected	holý
unqualified	neschopný
unqualified	nespôsobilý
unqualified	neoprávnený
unqualified	kategorický
unqualified	naprostý
unqualified	absolútny
unqualified	bezvýhradný
unqualified	neobmedzený
unqualified	nekvalifikovaný
unqualified	nekompetentný
unquestionable	istý
unquestionable	nepopierateľný
unquestionable	nepochybný
unquestionable	nesporný
unravel	rozpliesť
unravel	rozmotávať
unravel	rozuzľovať
unread	nečítaný
unread	nesčítaný
unreadable	nečitateľný
unreadable	nezaujímavý
unreadable	nudný
unreal	neskutočný
unreal	zdanlivý
unreasonable	nerozumný
unreasonable	nerozvážny
unreasonable	prehnaný
unreasonable	nezmyselný
unreasonable	absurdný
unreasonable	hlúpy
unreasonable	bezdôvodný
unreasonable	neodôvodnený
unreasonable	zbytočný
unreasonable	neprimeraný
unredeemable	neumoriteľný
unredeemed	neumorený
unrelenting	nemilosrdný
unrelenting	neúprosný
