striped	žíhané
stripes	seržant
stripes	pálenie
stripes	žíhanie
stripling	mládenec
stripper	striptérka
strive	usilovať
strive	bojovať
strive	zápasiť
stroke	pohladenie
stroke	úder
stroke	rana
stroke	ťah
stroke	tempo
stroke	rozmach
stroke	pohyb
stroke	pohladkať
stroke	mŕtvica
stroke	pohladkanie
stroke	výkon
stroke	uderenie
stroke	ráz
stroke	záber
stroke	škrt
stroke	škrtnutie
stroke	črta
stroke	kyv
stroke	šmyk
stroke	štrk
stroke	zdvih
stroke	takt
stroke	opatrenie
stroke	manéver
stroke	kus
stroke	kúsok
stroke	nápad
stroke	vtip
stroke	ruka
stroke	pointa
stroke	zásah
stroke	preškrtnúť
stroke	ťuknúť
stroke	odbíjať
stroke	pohladiť
stroke	uhladiť
stroke	dojiť
stroke	podojiť
stroke	náraz
stroll	prechádzka
stroll	kočovať
stroller	tulák
strong	silný
strong	vyhranený
strong	stúpajúci
strong	zdravý
strong	dobrý
strong	výborný
strong	úspešný
strong	odolný
strong	nápadný
strong	charakteristický
strong	výrazný
strong	vyzbrojený
strong	opevnený
strong	hutný
strong	úrodný
strong	energický
strong	tvrdý
strong	drastický
strong	autoritatívny
strong	dôrazný
strong	nekompromisný
strong	zapáchajúci
strong	štipľavý
strong	ťažký
strong	náruživý
strong	horlivý
strong	skalný
strong	prízvučný
strong	mužský
strong	zdôraznený
strong	mocný
strong	hrubosrstý
strong	hanebný
strong	rozhorčený
strong	dôrazne
strong	silná
strong	silné
strong-arm	silácky
strong-arm	brutálny
strong-arm	násilnícky
strong-arm	zbiť
strong-arm	zmlátiť
strong-arm	zastrašovať
strong-minded	chlapský
strong-minded	mužný
strong-minded	energický
strong-minded	cieľavedomý
strong-minded	emancipovaný
stronghold	pevnosť
stronghold	bašta
stronghold	citadela
stronghold	kastel
stronghold	veža
strop	remeň
strop	vešadlo
strophe	sloha
strophe	strofa
struck	udretý
struck	udretá
struck	udreté
struck	ubitý
structural	štruktúrny
structural	štrukturálny
structural	stavebný
structural	konštrukčný
structural	organický
structural	morfologický
structural	štrukturálna
structural	štrukturálne
structuralism	štrukturalizmus
structure	usporiadanie
structure	zloženie
structure	budova
structure	organizmus
structure	sloh
structure	postaviť
structure	vystaviť
structure	skonštruovať
structure	štruktúra
structure	systém
structure	stavba
structure	konštrukcia
structure	členiť
struggle	zápasiť
struggle	bojovať
struggle	boj
struggle	zápas
struggle	úsilie
struggle	snaha
struggle	šarvátka
struggle	potýčka
struggle	svár
struggle	spor
strum	zabrnkať
strum	brnkanie
strut	podopierať
strut	podpera
strut	opora
strut	stuhnúť
strut	stvrdnúť
strut	tuhnúť
strut	tvrdnúť
strut	honosenie
strut	stojka
strychnine	strychnín
stub	ohorok
stub	zvyšok
stub	kýpeť
stub	peň
stub	koreň
stub	pahýľ
stub	zbytok
stub	špačok
stub	nedoplatok
stub	útržok
stub	ústrižok
stub	tĺcť
stub	drviť
stub	roztĺkať
stubble	strnisko
stubborn	tvrdošijný
stubborn	tvrdohlavý
stubborn	húževnatý
stubborn	úporný
stubborn	neoblomný
stubborn	rázny
stubborn	rozhodný
stubborn	vzpurný
stubborn	vzdorovitý
stubborn	vzdorný
stubborn	nepoddajný
stubborn	nezlomný
stubborn	neskrotný
stubborn	neprekonateľný
stubborn	zarytý
stubborn	urputný
stubborn	tvrdý
stubborn	pevný
stubborn	nezdolný
stubbornness	umiernenosť
stubbornness	vzdorovitosť
stubbornness	tvrdohlavosť
stubbornness	tvrdošijnosť
stubbornness	nepoddajnosť
stubbornness	neoblomnosť
stubbornness	neskrotnosť
stubbornness	neprekonateľnosť
stubbornness	rozhodnosť
stubbornness	zarytosť
