subfusc	pochmúrny
subgroup	podskupina
subhead	podtitul
subhead	medzititulok
subhead	podkapitola
subheading	podtitulok
subject	vec
subject	subjekt
subject	námet
subject	téma
subject	občan
subject	podrobiť
subject	podrobený
subject	vystavený
subject	náchylný
subject	vystaviť
subject	podmet
subject	osoba
subject	dôvod
subject	príležitosť
subject	závislý
subject	neslobodný
subject	látka
subject	objekt
subject	motív
subject	myšlienka
subject	pacient
subject	jedinec
subject	mŕtvola
subject	priviesť
subject	spôsobiť
subject	zaviniť
subject	podmaniť
subject	poddaný
subject	podriadený
subject	predmet
subjection	poddanstvo
subjection	podrobenie
subjection	potlačenie
subjection	útlak
subjection	podriadenosť
subjection	závislosť
subjection	poddanosť
subjective	subjektívny
subjective	osobný
subjective	zaujatý
subjective	jednostranný
subjective	individuálny
subjective	imaginárny
subjective	poddanský
subjective	podmetový
subjoin	dodávať
subjoin	pridávať
subjoin	pripojiť
subjoin	pripájať
subjoin	pridať
subjoin	pripísať
subjoin	dodať
subjoin	priložiť
subjugate	podrobiť
subjugate	podmaniť
subjugate	utlačovať
subjugate	potlačovať
subjugate	skrotiť
subjugate	ovládnuť
subjugation	dobytie
subjugation	zotročenie
subjugation	útlak
subjugation	skrotenie
subjugation	podrobenie
subjugation	podmanenie
subjugation	ovládnutie
subjunctive	konjunktív
sublease	podnájom
sublet	podnájom
sublimate	sublimovať
sublimate	povzniesť
sublimate	povznášať
sublimate	vystupovať
sublimated	sublimovaný
sublime	majestátny
sublime	vznešený
sublime	vznešenosť
sublime	úžasný
sublime	ohromujúci
sublime	výsostný
sublime	posvätný
sublime	zjemnený
sublime	dôstojný
sublime	veľkolepý
sublime	mimoriadny
sublime	úplný
sublime	naprostý
sublime	absolútny
sublime	totálny
sublime	povrchový
sublime	vrchný
sublime	hrdý
sublime	posvätnosť
sublime	veľkoleposť
sublime	dokonalosť
sublime	nádhernosť
sublime	vrchol
sublime	sublimovať
submarine	podmorský
submarine	ponorka
submarine	ponorkový
submarine	torpédovať
submersion	ponorenie
submission	podriadenie
submission	podrobenie
submission	podvolenie
submission	poslušnosť
submission	pokora
submission	rezignovanosť
submission	odovzdanosť
submission	odovzdanie
submission	príspevok
submission	návrh
submission	výklad
submission	podanie
submission	predloženie
submission	kompromis
submission	zmier
submission	ponuka
submission	zadanie
submit	predkladať
submit	vystaviť
submit	postúpiť
submit	odovzdať
submit	predložiť
submit	tvrdiť
submit	vyhlásiť
subordinate	podriaďovať
subordinate	podriadiť
subordinate	vedľajší
subordinate	podružný
subordinate	závislý
subordinate	poddaný
subordinate	podriadený
subordination	podriadenie
subordination	závislosť
subordination	zoradenie
subordination	podriadenosť
suborn	podplácať
suborn	podplatiť
suborn	zviesť
suborn	ponúknuť
suborn	pripraviť
suborn	poskytnúť
subprogram	podprogram
subrogate	nahradiť
subrogate	substituovať
subroutine	podprogram
subscribe	súhlasiť
subscribe	schváliť
subscribe	odoberať
subscribe	predplatiť
subscribe	upísať
subscribe	podpísať
subscribe	upisovať
subscribe	prispieť
subscribed	upísaný
subscribed	podpísaný
subscribed	predplatený
subscriber	podporovateľ
subscriber	abonent
subscriber	abonentka
subscriber	podpísaný
subscriber	dolupodpísaný
subscriber	upisovateľ
subscriber	prispievateľ
subscriber	predplatiteľ
subscript	prípona
subscript	index
subscription	predplatné
subscription	zbierka
subscription	poplatok
subscription	predplácanie
subscription	podpísanie
subscription	povolenie
subscription	schválenie
subscription	predplatný
subscription	predplatná
subscription	abonmán
subscription	upísanie
subscription	úpis
subscription	príspevok
subscription	podpis
subsection	pododdiel
subsequent	ďalší
subsequent	následný
subsequent	nasledujúci
subsequent	neskorší
subsequently	potom
subserve	pomôcť
subserve	pomáhať
subservience	podlízavosť
subservience	servilnosť
subservient	podlízavý
