stove	skleník
stow	uschovať
stow	zabaliť
stow	odložiť
stow	uložiť
stow	umiestniť
stow	ukladať
stow	skladať
stow	zvinúť
stow	zbaliť
stow	vojsť
stow	pojať
stow	obsiahnuť
stow	vyplňovať
stow	nechať
stow	prestať
stow	spucovať
stow away	zjesť
stow away	uložiť
stowage	skladanie
stowage	ukladanie
stowage	uloženie
stowage	skladovanie
stowage	skladné
straddle	rozkrok
straddle	sedieť
straddle	ísť
straddle	chodiť
straddle	rozkročiť
straddle	rozkročenie
straddle	rámec
strafe	potrestať
strafe	vyhrešiť
strafe	bombardovať
strafe	ostreľovať
strafe	zničiť
strafe	streľba
strafe	ostreľovanie
strafe	bombardovanie
straggle	odtrhnúť
straggle	odbiehať
straggle	neporiadny
straggle	rozptýlený
straight	priamy
straight	rovný
straight	priamo
straight	rovno
straight	vodorovný
straight	hneď
straight	prosto
straight	otvorený
straight	úprimný
straight	statočný
straight	počestný
straight	nezmiešaný
straight	čistý
straight	spoľahlivý
straight	zaručený
straight	uprataný
straight	poctivý
straight	čestný
straight	rýdzi
straight	nespútaný
straight	normálny
straight	strmý
straight	priamosť
straight	rovnosť
straight	rovina
straight	čestne
straight	bezúhonne
straight	okamžite
straight line	priamka
straightaway	jednosmerný
straightaway	jasný
straightaway	logický
straightaway	prostý
straightaway	obyčajný
straightaway	zrozumiteľný
straightaway	rovina
straightaway	rovinka
straightaway	ihneď
straightaway	okamžito
straightaway	priamo
straighten	vyrovnať
straighten	napriamiť
straighten	uložiť
straightforward	priamočiary
straightforward	úprimný
straightforward	poctivý
straightforward	čestný
straightforward	priamy
straightforward	rovný
straightforward	otvorený
straightforward	jasný
straightforward	zrejmý
straightforward	zreteľný
straightforward	priamo
straightforward	rovno
straightforward	upriamene
straightforward	poctivo
straightforward	čestne
straightness	rovnosť
straightness	priamosť
straightness	poriadok
straightness	slušnosť
straightness	poctivosť
straightness	čestnosť
straightness	charakternosť
straightness	logičnosť
straightness	čistota
straightness	rýdzosť
straightness	spoľahlivosť
straightway	ihneď
strain	napnúť
strain	napínať
strain	vypätie
strain	napätie
strain	námaha
strain	zvierať
strain	stláčať
strain	pokolenie
strain	rod
strain	presilňovať
strain	prepínať
strain	náklonnosť
strain	sklon
strain	vypnúť
strain	našponovať
strain	preťažovať
strain	pokaziť
strain	zničiť
strain	trhať
strain	stlačiť
strain	pritlačiť
strain	pachtiť
strain	prekrútiť
strain	prefiltrovať
strain	filtrovať
strain	pasírovať
strain	kvapkať
strain	tiecť
strain	deformovať
strain	napnutie
strain	prepätie
strain	pnutie
strain	tlak
strain	ťah
strain	poškodenie
strain	pretvorenie
strain	skrivenie
strain	prekrútenie
strain	deformácia
strain	preťaženie
strain	premáhanie
strain	vymknutie
strain	vykĺbenie
strain	verš
strain	úryvok
strain	motív
strain	tón
strain	duch
strain	výbuch
strain	záplava
strain	nálada
strain	rodina
strain	plemeno
strain	rasa
strain	namáhanie
strained	napätý
strained	usilovný
strained	namáhavý
strained	neprirodzený
strained	nútený
strained	násilný
strained	nervózny
strained	podráždený
strainer	cedidlo
strainer	filter
strait	úžina
strait	prieliv
strait	úzky
strait	tesný
strait	stiesnený
strait	striktný
strait	prísny
strait	lakomý
strait	intímny
strait	dôverný
strait	šija
strait-laced	puritánsky
strait-laced	prísny
straiten	zúžiť
straiten	obmedziť
straiten	trápiť
straiten	stíhať
straitened	núdza
straitened	bieda
straitened	stiesnený
straits	ťažkosti
straits	úžina
