dustbin	popolnica
duster	prachovka
duster	rozprašovač
duster	odlučovač
dustman	smetiar
dusty	zaprášený
dusty	prašný
dusty	popolavý
Dutch	holandština
Dutch	holandská
Dutch	holandské
Dutch	holandský
Dutch	holandsky
dutiable	colný
dutiful	poslušný
dutiful	oddaný
dutiful	verný
dutiful	úctivý
duty	výkonnosť
duty	výkon
duty	prevádzka
duty	daň
duty	práca
duty	funkcia
duty	oddanosť
duty	zaťaženie
duty	úväzok
duty	záväzok
duty	povinnosť
duty	úloha
duty	služba
duty	poplatok
duty	clo
duty	dávka
duty-free	bezcolné
dwarf	trpaslík
dwarf	piaďmužík
dwarf	škriatok
dwarfish	zakrpatený
dwarfish	trpasličí
dwell	ostávať
dwell	žiť
dwell	postátie
dwell	zotrvanie
dwell	prerušovať
dwell	zastavovať
dwell	bývať
dwell	obývať
dweller	obyvateľ
dwelling	obydlie
dwelling	bytový
dwelling	dom
dwelling	sídlo
dwelling	príbytok
dwelling	obytný
dwindle	ubúdať
dyad	dyáda
dyadic	dyadický
dyadic	dvojkový
dyadic	dvojčlenný
dye	farba
dye	farbivo
dye	zafarbiť
dye	farbiť
dye	sfarbovať
dye	vyfarbiť
dye	vyfarbovať
dyed	farbený
dyeing	farbenie
dyestuff	farbivo
dying	zomieranie
dying	umierajúci
dying	smrteľný
dying	posledný
dying	umieranie
dying	úmrtie
dynamic	dynamický
dynamic	dynamická
dynamic	dynamické
dynamic	živý
dynamic	živá
dynamic	živé
dynamic	hybný
dynamic	hybná
dynamic	hybné
dynamic	kynetický
dynamic	nestacionárny
dynamic	aktívny
dynamics	hybnosť
dynamics	živosť
dynamics	dynamika
dynamism	dynamizmus
dynamite	dynamit
dynamo	dynamo
dynamo	dynamový
dynamometer	silomer
dynamometer	dynamometer
dynamometer	elektrodynamický
dynasty	dynastia
dyne	dyn
dysentery	úplavica
dysentery	dyzentéria
e.g.	napríklad
each	každá
each	každý
each	každé
eager	dychčať
eager	dychtivý
eager	horlivý
eager	netrpezlivý
eagerness	horlivosť
eagerness	dychtivosť
eagle	orol
ear	ucho
ear	sluch
ear	klas
ear	pútko
earl	knieža
earl	gróf
earlier	skôr
earlier	skorší
early	zavčasu
early	skorý
early	ranný
early	včas
early	skoro
early	prvotný
early	začiatočný
early	skorá
early	skoré
early	prvotná
early	prvotné
early	ranná
early	ranné
early	včasný
early	jarný
early bird	ranostaj
earmark	značkovať
earmark	vybrať
earn	docieliť
earn	nadobudnúť
earn	získavať
earn	zarobiť
earn	získať
earnest	preddavok
earnest	závdavok
earnest	náznak
earnest	predpoveď
earnest	predzvesť
earnest	signál
earnest	skutočnosť
earnest	záloha
earnest	záruka
earnest	vážny
earnest	naliehavý
earnest money	preddavok
earnest money	záloha
earnest money	závdavok
earnings	mzda
earnings	tržba
earnings	dôchodok
earnings	výťažok
earnings	príjem
earnings	mzdový
earnings	zárobok
earnings	zisk
earnings	výnos
earphone	slúchadlo
earth	zem
earth	uzemnený
earth	pevnina
earth	svet
earth	uzemniť
earth	brloh
earth	uzemnenie
earth	zemeguľa
earth	zemný
earth	zemná
earth	zemné
earth	zemina
earth	prsť
earth	uzemňovací
earth	zemský
earth	hlina
earth	pôda
earth up	okopať
earthen	hlinený
earthenware	kamenina
earthing	uzemnenie
earthing	uzemňovanie
earthing	zemnenie
earthing	uzemňujúci
earthing	uzemňovací
earthing	zhašací
earthly	pozemský
earthly	svetský
earthly	zmyselný
earthly	pozemská
earthly	pozemské
earthquake	zemetrasenie
