fortress	pevnosť
fortuitous	náhodný
fortuitous	náhodilý
fortuitous	prechodný
fortuity	náhoda
fortunate	šťastný
fortunate	priaznivý
fortunately	našťastie
fortune	bohatstvo
fortune	osud
fortune	šťastie
fortune	majetok
forty	štyridasť
forty winks	zdriemnutie
forty winks	šlofík
forum	fórum
forum	súd
forward	útočník
forward	predný
forward	vpred
forward	dopredu
forward	pokročilý
forward	pokrokový
forward	vpredu
forward	pripravený
forward	predsunutý
forward	perspektívny
forward	vyspelý
forward	vykŕmený
forward	ochotný
forward	arogantný
forward	trúfalý
forward	dovolený
forward	drzý
forward	progresívny
forward	radikálny
forward	dopraviť
forward	prepraviť
forward	podporovať
forward	urýchliť
forward	vedúci
forward	priamy
forward	priepustný
forward	odovzdať
forward	daný
forward	dlhodobý
forwarding	doprava
forwarding	zasielateľstvo
forwarding	odosielací
forwarding	expedičný
forwarding	dopravný
forwardness	pokročilosť
forwardness	vyspelosť
forwardness	zrelosť
forwardness	horlivosť
forwardness	trúfalosť
forwardness	drzosť
forwards	vpredu
forwards	vpred
fossa	stoka
fossa	kanál
fossa	priekopa
fossil	fosílny
fossil	zaostalý
fossil	skamenelina
fossil	zastaralý
fossil	predpotopný
fossil	fosília
fossil	skamenenina
fossil	pochovaný
fossil	skamenený
fossilise	skamenieť
fossilization	fosilizácia
fossilization	skamenievanie
foster	podporovať
foster	živiť
foster mother	pestúnka
foster-father	pestún
foster-mother	pestúnka
foster-parent	pestún
foul	odporný
foul	skazený
foul	nečistý
foul	nepoctivý
foul	hnusný
foul	hanebný
foul	mizerný
foul	biedny
foul	prehnitý
foul	páchnuci
foul	špinavý
foul	zablatený
foul	zapchatý
foul	znečistený
foul	pokazený
foul	nevhodný
foul	oplzlý
foul	obscénny
foul	sprostý
foul	rozbúrený
foul	nebezpečný
foul	nepriaznivý
foul	nečestný
foul	nefér
foul	falošný
foul	nedovolený
foul	chybný
foul	zamotaný
foul	zapletený
foul	zauzlený
foul	faul
foul	zrážka
foul	kolízia
foul	náraz
foul	zapletenie
foul	zauzlenie
foul	hniť
foul	rozkladať
foul	zamotať
foul	zauzliť
foul	ovinúť
foul	zatarasiť
foul	zablokovať
foul	kompromitovať
foul	faulovať
foul	zanesený
foul	zašpiniť
found	nájsť
found	nadácia
found	základ
found	dôvod
found	podklad
found	odlievať
found	našiel
found	nájdená
found	nájdené
found	liať
found	podložiť
found	založiť
found	zlievať
found	nájdený
found	zistený
found	zriadiť
foundation	zakladanie
foundation	podklad
foundation	opodstatnenie
foundation	základný
foundation	základná
foundation	základné
foundation	závrtný
foundation	nadácia
foundation	fond
foundation	ústav
foundation	založenie
foundation	zriadenie
foundation	základ
founder	zlievač
founder	stroskotať
founder	uviaznuť
founder	zmariť
founder	zriaďovateľ
founder	zakladateľ
foundering	zrútenie
foundering	prepadávanie
foundling	nájdenec
foundling	najdúch
foundry	zlieváreň
foundry	lejáreň
fount	písmo
fount	písmeno
fount	prameň
fount	žriedlo
fount	kalamár
fount	súbor
fountain	žriedlo
fountain	prameň
fountain	fontána
fountain	farebnica
fountain	fontánový
fountain	komora
four	štyri
four	štvorka
four-dimensional	štvorrozmerný
four-stroke engine	štvortakt
fourteen	štrnásť
fourteenth	štrnásty
fourth	štvrtý
fourth	štvrtá
fourth	štvrté
fourth	kvarta
fovea	fovea
fowl	hydina
fox	líška
foxy	lišiacky
fracas	hádka
fracas	bitka
fraction	podiel
fraction	časť
fraction	frakcia
fraction	zlomok
